Regional council area,Population,Island
Northland region,194007,North Island
Auckland region,1656486,North Island
Waikato region,498771,North Island
Bay of Plenty region,334140,North Island
Gisborne region,51135,North Island
Hawke's Bay region,175074,North Island
Taranaki region,126015,North Island
ManawatÅ«-Whanganui region,251412,North Island
Wellington region,520971,North Island
Tasman region,57807,South Island
Nelson region,52584,South Island
Marlborough region,49431,South Island
West Coast region,33390,South Island
Canterbury region,651027,South Island
Otago region,240900,South Island
Southland region,100143,South Island
Area outside region,633,Not Included