Code,Name,pop13_u15,pop13_1529,pop13_3064,pop13_ov65,pop13_tot,pop18_u15,pop18_1529,pop18_3064,pop18_ov65,pop18_tot,pop23_u15,pop23_1529,pop23_3064,pop23_ov65,pop23_tot
"03500",South Taranaki District,"6078","4788","11802","3909","26580","6219","4719","12264","4332","27534","6171","4830","12906","5115","29025"
"02000",Waitomo District,"2133","1584","3972","1218","8907","2082","1701","4071","1446","9303","2022","1668","4197","1698","9585"
"07500",Invercargill City,"10254","9891","23250","8301","51696","10560","10053","24249","9345","54204","10233","10035","25083","10251","55599"
"07604",Kaipatiki Local Board Area,"15993","17985","39051","9462","82494","16449","20094","41472","10251","88269","16125","17787","42936","11283","88128"
"07620",Papakura Local Board Area,"11136","9864","19437","5196","45636","13632","13155","24786","6063","57636","17130","15429","32829","6933","72318"
"07618",Otara-Papatoetoe Local Board Area,"19605","18951","30588","6516","75663","20610","23328","34233","6951","85122","20448","21177","37566","7755","86949"
"99900",Area Outside Territorial Authority,"3","3","36","12","51","3","6","18","9","39","3","6","42","24","72"
"07300",Southland District,"6531","4980","14073","4026","29613","6534","5262","14436","4635","30864","6387","5025","14874","5544","31833"
"05100",Tasman District,"9432","6387","22872","8463","47157","9534","7626","24258","10974","52389","9498","8523","26322","13467","57807"
"03600",Ruapehu District,"2766","2175","5334","1569","11844","2715","2208","5454","1932","12309","2799","2217","5688","2391","13095"
"06200",Selwyn District,"9933","7977","21855","4833","44595","13452","10833","29301","6975","60561","16659","13320","38031","10131","78144"
"07200",Clutha District,"3501","2658","8073","2655","16890","3411","2898","8271","3087","17667","3408","2943","8436","3528","18315"
"06300",Ashburton District,"6423","5307","14115","5196","31041","6810","5937","14697","5982","33423","6714","5724","15447","6864","34746"
"07601",Rodney Local Board Area,"11412","8253","26526","8688","54882","13251","10746","31323","11094","66417","15225","11988","36972","13764","77949"
"03000",Hastings District,"16758","12519","32601","11364","73245","17697","14955","35199","13689","81537","17541","15396","37716","15309","85965"
"01300",Waikato District,"15204","10695","29976","7503","63378","17724","13239","35130","9525","75618","18675","14931","40224","12138","85968"
"03700",Whanganui District,"8517","7065","18459","8109","42153","8937","7692","19371","9309","45309","9042","7773","20205","10599","47619"
"05300",Marlborough District,"7752","6378","20382","8907","43416","8259","7158","21378","10548","47340","8232","7119","22239","11838","49431"
"05700",Westland District,"1533","1305","4176","1293","8304","1449","1446","4212","1536","8640","1377","1206","4437","1887","8901"
"06900",Central Otago District,"3258","2172","8652","3810","17895","3651","2997","10005","4908","21558","3894","3267","11163","5982","24306"
"07000",Queenstown-Lakes District,"5190","5397","14604","3033","28224","6522","9195","19317","4119","39153","7656","9648","24816","5691","47808"
"05800",Hurunui District,"2250","1638","5604","2031","11529","2427","1812","5841","2478","12558","2412","1809","6327","3063","13608"
"02800",Gisborne District,"10728","7848","18948","6126","43653","11283","8766","20124","7344","47517","11382","9627","21648","8481","51135"
"05500",Buller District,"1959","1560","5196","1752","10473","1587","1230","4551","2223","9591","1536","1197","4962","2751","10446"
"06500",Mackenzie District,"828","639","2031","663","4158","801","978","2274","810","4866","834","885","2454","942","5115"
"00100",Far North District,"12384","8238","25062","10044","55734","14079","10353","28191","12624","65250","14193","10914","30588","15735","71430"
"06800",Waitaki District,"3828","2907","9486","4605","20829","4071","3348","9819","5070","22308","4035","3507","10317","5610","23472"
"02100",Taupo District,"7047","5358","14922","5580","32907","7653","6072","16404","7077","37203","7545","6393","18048","8310","40296"
"07608",Aotea/Great Barrier Local Board Area,"150","57","519","210","939","138","90","480","225","936","168","153","606","324","1251"
"03800",Rangitikei District,"2955","2334","6264","2463","14019","3135","2586","6492","2814","15027","3033","2655","6816","3159","15663"
"02500",Whakatane District,"7584","5400","14694","5016","32691","8013","6177","15303","6207","35700","7776","6324","15837","7218","37149"
"04100",Tararua District,"3708","2640","7635","2871","16854","3876","2883","7899","3285","17943","3735","2952","8154","3819","18660"
"02900",Wairoa District,"1944","1299","3417","1230","7890","1965","1506","3462","1434","8367","2013","1527","3642","1638","8826"
"06600",Waimate District,"1350","1071","3438","1677","7536","1359","1152","3540","1770","7815","1374","1131","3663","1953","8121"
"05600",Grey District,"2658","2259","6315","2139","13371","2565","2244","6093","2445","13344","2538","2118","6462","2922","14043"
"07100",Dunedin City,"19422","32298","50628","17898","120249","19914","33549","52509","20289","126255","19056","34455","53055","22329","128901"
"03200",Central Hawke's Bay District,"2643","1776","6102","2202","12717","2943","1974","6426","2796","14142","3150","2181","6861","3288","15480"
"00300",Kaipara District,"3801","2670","8697","3792","18963","4425","3354","10020","5073","22869","4734","3480","11376","6309","25899"
"02700",Opotiki District,"1926","1401","3657","1449","8436","2097","1596","3927","1659","9276","2163","1782","4134","2010","10089"
"00200",Whangarei District,"16566","12429","34074","13923","76995","19119","15132","39381","17328","90960","19140","15465","41829","20244","96678"
"06400",Timaru District,"7956","6864","20109","9003","43932","8289","7596","20280","10128","46296","8349","7449","20850","10902","47547"
"02400",Rotorua District,"15132","12264","28905","8976","65280","16113","14148","31248","10365","71877","16053","14076","32358","11571","74058"
"03900",Manawatu District,"5790","4641","12690","4335","27459","6282","5004","13473","5406","30165","6480","5217","14406","6312","32415"
"05000",South Wairarapa District,"1851","1233","4581","1860","9528","1917","1314","5025","2319","10575","2037","1458","5580","2736","11811"
"04800",Masterton District,"4665","3846","10386","4455","23352","4968","4371","10857","5361","25557","5127","4635","11637","6276","27678"
"01100",Thames-Coromandel District,"4269","2952","11901","7059","26178","4488","3537","12600","9273","29895","4365","3528","13284","10821","31995"
"07621",Franklin Local Board Area,"14634","10605","31125","8955","65319","15765","12882","34896","11295","74838","16929","14274","39231","13923","84357"
"05900",Waimakariri District,"10191","7416","24003","8379","49989","11412","9675","27174","11241","59502","11748","10143","30168","14187","66246"
"03300",New Plymouth District,"15114","12570","34044","12459","74184","16428","13650","36129","14475","80679","17190","14148","38583","17076","87000"
"03400",Stratford District,"1977","1599","3963","1452","8988","2043","1635","4152","1644","9474","2097","1665","4515","1872","10149"
"02200",Western Bay of Plenty District,"8655","6243","20016","8406","43323","9474","8049","22683","10695","50904","10065","8481","24786","12852","56184"
"01800",Otorohanga District,"2130","1683","4128","1200","9141","2283","1926","4416","1479","10104","2223","1740","4683","1764","10410"
"05400",Kaikoura District,"612","513","1740","690","3552","630","600","1848","831","3912","645","531","1911","1128","4215"
"01900",South Waikato District,"5214","3939","9444","3477","22071","5526","4479","10077","3963","24042","5637","4467","10614","4326","25044"
"01500",Matamata-Piako District,"6765","5502","13587","5685","31536","6999","6186","14436","6783","34404","7302","6189","15618","7986","37098"
"06000",Christchurch City,"60858","72960","156585","51066","341469","63699","82971","166959","55377","369006","64722","84633","178113","63912","391383"
"01700",Waipa District,"9960","7875","21288","7545","46668","10995","9252","23535","9456","53241","11751","9651","25896","11388","58686"
"07602",Hibiscus and Bays Local Board Area,"17007","15276","41532","16020","89829","19461","18408","47784","18357","104010","21477","18345","52998","21210","114033"
"05200",Nelson City,"8745","7494","22089","8109","46437","9027","8469","23541","9843","50880","8712","8226","24285","11361","52584"
"04000",Palmerston North City,"16014","20187","33267","10611","80079","16707","21021","34854","12060","84639","16899","19401","37125","13665","87090"
"04600",Lower Hutt City,"20997","18915","45726","12603","98238","21135","20682","48480","14232","104532","20595","19896","51261","15807","107562"
"04700",Wellington City,"32967","50310","89463","18219","190956","32856","54999","93669","21213","202737","29142","55080","94806","23664","202689"
"04400",Porirua City,"12675","9894","23817","5328","51717","13443","11127","25419","6570","56559","13128","11352","27252","7710","59445"
"02300",Tauranga City,"23715","19074","50220","22152","115161","27642","23313","59136","27039","137130","29604","26316","66786","30138","152844"
"07617",Mangere-Otahuhu Local Board Area,"19971","17142","28095","5754","70959","20700","19686","31419","6645","78450","18756","19470","32961","7455","78642"
"01600",Hamilton City,"30378","36042","59037","16155","141612","34413","40293","67197","19005","160911","36570","40836","75549","21783","174741"
"03100",Napier City,"11535","9618","25428","10662","57240","12321","10740","26712","12465","62241","11913","11115","27990","13674","64695"
"07616",Howick Local Board Area,"25194","25707","60228","15993","127125","27279","28542","66066","19086","140970","29202","29346","73104","21915","153570"
"07603",Upper Harbour Local Board Area,"10599","12018","25443","5613","53670","11589","14130","29520","7602","62841","14217","14994","37377","10365","76959"
"07606",Henderson-Massey Local Board Area,"24924","23274","48093","11391","107685","26673","26241","53172","12333","118422","26208","26142","58566","13863","124779"
"07609",Waiheke Local Board Area,"1467","1047","4278","1551","8340","1434","1281","4455","1896","9063","1191","1194","4563","2217","9162"
"01200",Hauraki District,"3480","2634","7800","3897","17808","3741","2958","8595","4728","20022","3792","3000","9039","5487","21318"
"07400",Gore District,"2409","1944","5391","2289","12033","2373","2079","5439","2508","12396","2304","2148","5541","2721","12711"
"04900",Carterton District,"1635","1131","3924","1545","8235","1740","1281","4113","2064","9198","1788","1290","4548","2484","10107"
"04200",Horowhenua District,"5763","4464","12723","7149","30096","6087","5244","13707","8223","33261","6624","5838","15090","9141","36693"
"07607",Waitakere Ranges Local Board Area,"11007","8763","24090","4542","48399","11337","9933","25434","5388","52095","11058","9702","26610","6525","53898"
"04300",Kapiti Coast District,"9051","6273","21357","12423","49104","9285","7386","22935","14067","53673","9057","7659","24282","14916","55914"
"04500",Upper Hutt City,"8160","7140","19050","5832","40179","8556","8160","20658","6603","43980","8811","7728","21900","7317","45759"
"07605",Devonport-Takapuna Local Board Area,"10287","10899","25821","8463","55470","10392","11553","26604","9426","57975","9954","10839","26847","10362","58005"
"07614",Orakei Local Board Area,"15339","14052","38253","11898","79539","15435","15813","39735","13338","84318","14520","15543","38577","14553","83196"
"07611",Whau Local Board Area,"14508","16197","32808","9081","72594","15000","18480","36252","9624","79356","15258","16602","38805","10608","81273"
"07619",Manurewa Local Board Area,"22185","19176","33948","6933","82242","24687","23985","39021","7977","95670","24000","23682","41994","9105","98784"
"07615",Maungakiekie-Tamaki Local Board Area,"15159","15456","32187","7203","70005","15381","18132","34659","8115","76284","14784","17079","36711","9531","78102"
"07612",Albert-Eden Local Board Area,"17859","23340","44862","8634","94695","16710","25587","46386","9942","98622","15429","23328","46323","11550","96630"
"07613",Puketapapa Local Board Area,"10032","13158","23601","6147","52938","10098","15078","25365","7014","57555","9549","13083","26040","8277","56949"
"07610",Waitemata Local Board Area,"7881","29865","34473","4914","77136","7818","30387","38118","6543","82866","7206","26775","39333","8232","81546"
"02600",Kawerau District,"1641","1134","2469","1122","6363","1716","1275","2733","1425","7146","1680","1332","2994","1527","7539"
